,0
585,8
586,5
587,5
588,0
589,3
590,5
591,0
592,0
593,2
594,9
595,5
596,6
597,7
598,8
599,7
600,9
601,7
602,9
603,2
604,3
605,6
606,9
607,3
608,7
609,9
610,2
611,4
612,4
613,8
614,7
615,2
616,8
617,7
618,4
619,9
620,2
621,9
622,3
623,5
624,3
625,2
626,5
627,7
628,5
629,8
630,2
631,5
632,3
633,5
634,4
635,4
636,2
637,0
638,8
639,4
640,5
641,8
642,9
643,8
644,8
645,1
646,9
647,7
648,2
649,1
650,3
651,3
652,1
653,0
654,8
655,7
656,2
657,0
658,3
659,0
660,4
661,5
662,2
663,8
664,7
665,0
666,5
667,5
668,6
669,8
670,9
671,3
672,5
673,3
674,8
675,0
676,7
677,1
678,0
679,5
680,7
681,0
682,3
683,8
684,4
685,5
686,8
687,8
688,4
689,0
690,9
691,5
692,2
693,0
694,5
695,9
696,1
697,0
698,2
699,9
700,4
701,4
702,7
703,9
704,9
705,4
706,3
707,7
708,1
709,4
710,9
711,3
712,2
713,4
714,5
715,0
716,4
717,2
718,4
719,7
720,7
721,3
722,2
723,5
724,0
725,2
726,4
727,9
728,8
729,1
730,7
731,5
732,3
733,3
734,4
735,7
736,3
737,8
738,5
739,4
740,7
741,5
742,8
743,5
744,9
745,8
746,0
747,9
748,9
749,5
750,7
751,7
752,1
753,9
754,4
755,7
756,4
757,8
758,0
759,4
760,9
761,3
762,4
763,7
764,2
765,0
766,7
767,7
768,2
769,7
770,0
771,9
772,3
773,0
774,0
775,9
776,0
777,9
778,3
779,3
780,0
781,3
782,7
783,3
784,3
785,3
786,3
787,7
788,6
789,7
790,6
791,0
792,9
793,4
794,4
795,0
796,3
797,3
798,9
799,2
800,5
801,4
802,0
803,4
804,3
805,0
806,0
807,6
808,7
809,0
810,6
811,0
812,3
813,9
814,0
815,3
816,0
817,8
818,0
819,0
820,5
821,8
822,4
823,2
824,1
825,7
826,5
827,9
828,4
829,0
830,9
831,8
832,5
833,6
834,5
835,3
836,7
837,0
838,5
839,4
840,4
841,3
842,8
843,9
844,4
845,5
846,4
847,2
848,1
849,9
850,3
851,4
852,8
853,2
854,6
855,0
856,4
857,3
858,5
859,9
860,5
861,2
862,5
863,7
864,1
865,5
866,9
867,0
868,8
869,5
870,0
871,5
872,5
873,7
874,2
875,7
876,5
877,2
878,3
879,5
880,1
881,4
882,1
883,5
884,1
885,7
886,3
887,4
888,5
889,6
890,3
891,1
892,1
893,2
894,5
895,5
896,5
897,9
898,4
899,8
900,0
901,3
902,2
903,2
904,3
905,3
906,9
907,3
908,8
909,9
910,4
911,3
912,8
913,7
914,1
915,3
916,5
917,9
918,8
919,4
920,4
921,9
922,8
923,8
924,6
925,9
926,9
927,1
928,1
929,3
930,3
931,9
932,5
933,5
934,0
935,4
936,4
937,5
938,9
939,5
940,9
941,7
942,0
943,8
944,2
945,7
946,9
947,2
948,4
949,0
950,1
951,3
952,3
953,9
954,1
955,5
956,7
957,2
958,5
959,4
960,3
961,0
962,0
963,6
964,3
965,6
966,8
967,9
968,3
969,0
970,9
971,7
972,5
973,2
974,0
975,6
976,5
977,8
978,2
979,4
980,7
981,7
982,7
983,4
984,4
985,0
986,7
987,8
988,5
989,3
990,4
991,9
992,9
993,4
994,8
995,4
996,2
997,5
998,9
999,0
1000,9
1001,0
1002,1
1003,3
1004,0
1005,8
1006,7
1007,1
1008,1
1009,2
1010,3
1011,3
1012,0
1013,4
1014,3
1015,9
1016,0
1017,8
1018,9
1019,2
1020,8
1021,6
1022,2
1023,5
1024,2
1025,7
1026,6
1027,2
1028,5
1029,9
1030,7
1031,5
1032,9
1033,5
1034,3
1035,8
1036,5
1037,7
1038,3
1039,9
1040,2
1041,4
1042,7
1043,6
1044,3
1045,5
1046,0
1047,1
1048,0
1049,4
1050,3
1051,2
1052,4
1053,0
1054,4
1055,7
1056,2
1057,9
1058,7
1059,2
1060,7
1061,3
1062,7
1063,0
1064,3
1065,5
1066,0
1067,4
1068,8
1069,8
1070,5
1071,7
1072,2
1073,7
1074,5
1075,7
1076,3
1077,0
1078,1
1079,5
1080,0
1081,3
1082,3
1083,9
1084,0
1085,5
1086,0
1087,6
1088,0
1089,0
1090,7
1091,9
1092,2
1093,7
1094,3
1095,0
1096,0
1097,0
1098,2
1099,7
1100,0
1101,0
1102,1
1103,8
1104,7
1105,1
1106,2
1107,9
1108,0
1109,2
1110,4
1111,0
1112,9
1113,4
1114,0
1115,0
1116,0
1117,2
1118,2
1119,3
1120,3
1121,4
1122,0
1123,7
1124,3
1125,5
1126,0
1127,0
1128,4
1129,9
1130,8
1131,5
1132,9
1133,2
1134,9
1135,0
1136,9
1137,0
1138,4
1139,5
1140,2
1141,0
1142,0
1143,9
1144,7
1145,7
1146,9
1147,2
1148,5
1149,4
1150,4
1151,2
1152,7
1153,7
1154,3
1155,4
1156,2
1157,8
1158,0
1159,8
1160,6
1161,4
1162,0
1163,6
1164,5
1165,7
1166,3
1167,9
1168,0
1169,4
1170,5
1171,7
1172,6
1173,7
1174,1
1175,7
1176,7
1177,4
1178,3
1179,7
1180,1
1181,3
1182,1
1183,7
1184,5
1185,2
1186,3
1187,4
1188,4
1189,6
1190,8
1191,9
1192,3
1193,1
1194,4
1195,5
1196,9
1197,8
1198,0
1199,8
1200,9
1201,2
1202,9
1203,0
1204,9
1205,5
1206,2
1207,4
1208,4
1209,2
1210,5
1211,9
1212,2
1213,9
1214,9
1215,9
1216,3
1217,9
1218,8
1219,2
1220,4
1221,0
1222,0
1223,3
1224,8
1225,2
1226,8
1227,2
1228,6
1229,2
1230,4
1231,4
1232,0
1233,3
1234,4
1235,7
1236,8
1237,0
1238,7
1239,3
1240,4
1241,8
1242,8
1243,3
1244,6
1245,0
1246,6
1247,8
1248,4
1249,0
1250,4
1251,8
1252,7
1253,9
1254,1
1255,5
1256,0
1257,9
1258,7
1259,0
1260,5
1261,4
1262,2
1263,9
1264,4
1265,3
1266,1
1267,0
1268,3
1269,3
1270,9
1271,4
1272,5
1273,3
1274,4
1275,5
1276,6
1277,2
1278,2
1279,0
1280,9
1281,4
1282,5
1283,7
1284,9
1285,0
1286,7
1287,3
1288,9
1289,2
1290,6
1291,4
1292,0
1293,7
1294,8
1295,8
1296,8
1297,9
1298,3
1299,2
1300,2
1301,9
1302,4
1303,1
1304,1
1305,8
1306,7
1307,0
1308,9
1309,0
1310,5
1311,2
1312,5
1313,7
1314,6
1315,9
1316,9
1317,7
1318,7
1319,3
1320,3
1321,7
1322,4
1323,7
1324,8
1325,2
1326,0
1327,0
1328,4
1329,5
1330,8
1331,4
1332,8
1333,9
1334,7
1335,5
1336,1
1337,3
1338,9
1339,0
1340,9
1341,6
1342,8
1343,9
1344,7
1345,6
1346,4
1347,7
1348,9
1349,7
1350,4
1351,5
1352,3
1353,4
1354,9
1355,9
1356,0
1357,7
1358,5
1359,0
1360,5
1361,3
1362,3
1363,5
1364,8
1365,8
1366,9
1367,7
1368,6
1369,0
1370,4
1371,0
1372,5
1373,0
1374,0
1375,8
1376,5
1377,5
1378,2
1379,4
1380,1
1381,4
1382,4
1383,4
1384,9
1385,0
1386,1
1387,4
1388,7
1389,4
1390,2
1391,8
1392,5
1393,5
1394,4
1395,3
1396,4
1397,2
1398,3
1399,5
1400,3
1401,0
1402,6
1403,8
1404,8
1405,9
1406,3
1407,2
1408,3
1409,0
1410,2
1411,0
1412,7
1413,5
1414,5
1415,6
1416,8
1417,6
1418,8
1419,4
1420,8
1421,4
1422,4
1423,8
1424,7
1425,6
1426,4
1427,9
1428,7
1429,1
1430,3
1431,8
1432,4
1433,8
1434,2
1435,9
1436,4
1437,1
1438,5
1439,0
1440,5
1441,7
1442,0
1443,0
1444,5
1445,8
1446,4
1447,7
1448,4
1449,5
1450,0
1451,5
1452,7
1453,7
1454,8
1455,0
1456,6
1457,0
1458,3
1459,3
1460,5
1461,5
1462,9
1463,1
1464,2
1465,0
1466,2
1467,5
1468,4
1469,4
1470,4
1471,6
1472,4
1473,7
1474,7
1475,4
1476,3
1477,6
1478,8
1479,3
1480,2
1481,3
1482,1
1483,5
1484,5
1485,2
1486,3
1487,8
1488,1
1489,3
1490,8
1491,6
1492,3
1493,2
1494,0
1495,7
1496,6
1497,2
1498,2
1499,2
1500,5
1501,3
1502,6
1503,8
1504,5
1505,1
1506,7
1507,3
1508,3
1509,0
1510,2
1511,6
1512,4
1513,4
1514,3
1515,3
1516,1
1517,2
1518,9
1519,0
1520,2
1521,3
1522,7
1523,9
1524,0
1525,4
1526,0
1527,8
1528,3
1529,9
1530,9
1531,0
1532,8
1533,0
1534,7
1535,2
1536,9
1537,3
1538,9
1539,1
1540,8
1541,7
1542,9
1543,7
1544,7
1545,3
1546,0
1547,0
1548,0
1549,2
1550,1
1551,1
1552,3
1553,9
1554,0
1555,5
1556,7
1557,8
1558,7
1559,3
1560,0
1561,5
1562,6
1563,9
1564,6
1565,5
1566,9
1567,7
1568,4
1569,4
1570,5
1571,9
1572,8
1573,0
1574,7
1575,0
1576,4
1577,0
1578,8
1579,2
1580,0
1581,7
1582,0
1583,7
1584,8
1585,5
1586,4
1587,9
1588,9
1589,8
1590,0
1591,6
1592,7
1593,4
1594,1
1595,2
1596,3
1597,7
1598,7
1599,8
1600,4
1601,7
1602,5
1603,9
1604,1
1605,7
1606,1
1607,7
1608,4
1609,2
1610,2
1611,3
1612,7
1613,4
1614,0
1615,1
1616,8
1617,6
1618,3
1619,9
1620,2
1621,5
1622,9
1623,8
1624,4
1625,8
1626,5
1627,4
1628,7
1629,4
1630,0
1631,2
1632,9
1633,2
1634,9
1635,0
1636,7
1637,9
1638,0
1639,7
1640,7
1641,3
1642,5
1643,8
1644,8
1645,2
1646,3
1647,7
1648,7
1649,7
1650,2
1651,2
1652,3
1653,6
1654,8
1655,4
1656,6
1657,5
1658,3
1659,5
1660,4
1661,0
1662,3
1663,3
1664,0
1665,9
1666,7
1667,6
1668,1
1669,4
1670,0
1671,3
1672,8
1673,2
1674,4
1675,2
1676,5
1677,4
1678,7
1679,6
1680,8
1681,7
1682,7
1683,8
1684,2
1685,5
1686,0
1687,2
1688,9
1689,3
1690,7
1691,9
1692,3
1693,8
1694,9
1695,5
1696,3
1697,5
1698,3
1699,5
1700,4
1701,7
1702,3
1703,3
1704,7
1705,0
1706,5
1707,2
1708,7
1709,3
1710,1
1711,5
1712,9
1713,3
1714,0
1715,9
1716,9
1717,5
1718,9
1719,8
1720,3
1721,7
1722,4
1723,0
1724,9
1725,4
1726,8
1727,6
1728,3
1729,3
1730,5
1731,4
1732,3
1733,0
1734,3
1735,4
1736,2
1737,2
1738,4
1739,5
1740,3
1741,3
1742,0
1743,9
1744,5
1745,3
1746,8
